Campaign,Ad group,Product,UTM,Platform
Lang Pack - Call Only - Spanish Version (PAUSED),Spanish Lang Pack,Spanish,,Google
Lang Pack - Call Only - Spanish Version (PAUSED),State farm espanol,Spanish,,Google
Legacy - Call - Language Pack SF Spanish,State Farm Insurance,Spanish,,Google
Call Only - 701 - SF Snowmobile Insurance - Mobile,GM701 - Snowmobile Insurance,Snowmobile,,Google
Call Only - 701 - SF Snowmobile Insurance - Mobile,GM701 - Snowmobile Insurance Cost,Snowmobile,,Google
Call Only - 701 - SF Snowmobile Insurance - Mobile,GM701 - Snowmobile Insurance Coverage,Snowmobile,,Google
Call Only - 701 - SF Snowmobile Insurance - Mobile,GM701 - Snowmobile Insurance Quote,Snowmobile,,Google
Call Only - 701 - SF Snowmobile Insurance - Mobile,GM701 - Snowmobile Liability Insurance,Snowmobile,,Google
Call Only - 701 - SF Snowmobile Insurance - Mobile,GM701 - Snowmobile Quote,Snowmobile,,Google
Call Only - 701 - SF Snowmobile Insurance - Mobile,GM701 - State Farm Snowmobile Insurance,Snowmobile,,Google
Legacy - Call Only - 756 - SF RV Insurance - Mobile,756  - Camper Insurance,RV,,Google
Legacy - Call Only - 756 - SF RV Insurance - Mobile,756  - Camper Trailer Insurance,RV,,Google
Legacy - Call Only - 756 - SF RV Insurance - Mobile,756  - Camper Van Insurance,RV,,Google
Legacy - Call Only - 756 - SF RV Insurance - Mobile,756  - Campervan Insurance,RV,,Google
Legacy - Call Only - 756 - SF RV Insurance - Mobile,756  - Cheap Rv Insurance,RV,,Google
Legacy - Call Only - 756 - SF RV Insurance - Mobile,756  - Insurance For A Motorhome,RV,,Google
Legacy - Call Only - 756 - SF RV Insurance - Mobile,756  - Insurance For Campers,RV,,Google
Legacy - Call Only - 756 - SF RV Insurance - Mobile,756  - Insurance For Motorhomes,RV,,Google
Legacy - Call Only - 756 - SF RV Insurance - Mobile,756  - Insurance For Travel Trailer,RV,,Google
Legacy - Call Only - 756 - SF RV Insurance - Mobile,756  - Insurance On Campers,RV,,Google
Legacy - Call Only - 756 - SF RV Insurance - Mobile,756  - Insure Rv,RV,,Google
